,sortername,samplesize,iterations,comparisons,timeInNs,timeInMs,memory
Samplesize:100
,BubbleSort,100,9702,9702,499'658 ns,0 ms,0
,BubbleSortAdvanced,100,6435,6435,429'708 ns,0 ms,0
,Quicksort,100,1670,7950,95'958 ns,0 ms,0
,TreeSort,100,19740,36470,45'712 ns,0 ms,0
Samplesize:1000
,BubbleSort,1000,997002,997002,1'356'965 ns,1 ms,0
,BubbleSortAdvanced,1000,999000,999000,2'094'583 ns,2 ms,0
,Quicksort,1000,18570,85610,414'150 ns,0 ms,0
,TreeSort,1000,1578300,3126590,983'873 ns,0 ms,0
Samplesize:10
,BubbleSort,10,72,72,324 ns,0 ms,0
,BubbleSortAdvanced,10,36,36,219 ns,0 ms,0
,Quicksort,10,130,460,984 ns,0 ms,0
,TreeSort,10,680,1050,2'060 ns,0 ms,0
